city,country,iso2,latitude,longitude,time_zone,population
Andorra la Vella,Andorra,AD,42.5,1.5,Europe/Andorra,22615
Sant Pere,Andorra,AD,42.5833,1.65,Europe/Andorra,22256
Escaldes-Engordany,Andorra,AD,42.5089,1.5408,Europe/Andorra,15506
Encamp,Andorra,AD,42.5361,1.5828,Europe/Andorra,12826
La Massana,Andorra,AD,42.5442,1.5164,Europe/Andorra,11591
Sant Julià de Lòria,Andorra,AD,42.47,1.49,Europe/Andorra,9915
Canillo,Andorra,AD,42.5664,1.6009,Europe/Andorra,5781
Ordino,Andorra,AD,42.5562,1.5332,Europe/Andorra,4858
Dubai,United Arab Emirates,AE,25.2697,55.3094,Asia/Dubai,4945000
Abu Dhabi,United Arab Emirates,AE,24.4511,54.3969,Asia/Dubai,1570000
Sharjah,United Arab Emirates,AE,25.3375,55.4119,Asia/Dubai,1247749
Al ‘Ayn,United Arab Emirates,AE,24.2075,55.7447,Asia/Dubai,766936
‘Ajmān,United Arab Emirates,AE,25.3994,55.4797,Asia/Dubai,490035
Ra’s al Khaymah,United Arab Emirates,AE,25.7851,55.9479,Asia/Dubai,115949
Al Fujayrah,United Arab Emirates,AE,25.1222,56.3344,Asia/Dubai,93673
Kalbā,United Arab Emirates,AE,25.0513,56.3542,Asia/Dubai,54876
Umm al Qaywayn,United Arab Emirates,AE,25.5598,55.5572,Asia/Dubai,44411
Khawr Fakkān,United Arab Emirates,AE,25.3392,56.3561,Asia/Dubai,39151
Madīnat Zāyid,United Arab Emirates,AE,23.6522,53.6536,Asia/Dubai,29095
Al Jazīrah al Ḩamrā’,United Arab Emirates,AE,25.7089,55.7972,Asia/Dubai,10190
Kabul,Afghanistan,AF,34.5328,69.1658,Asia/Kabul,5333284
Kandahār,Afghanistan,AF,31.6207,65.7159,Asia/Kabul,614254
Mazār-e Sharīf,Afghanistan,AF,36.7,67.1167,Asia/Kabul,568013
Herāt,Afghanistan,AF,34.3419,62.2031,Asia/Kabul,556205
Kunduz,Afghanistan,AF,36.7289,68.8569,Asia/Kabul,356536
Jalālābād,Afghanistan,AF,34.4303,70.4528,Asia/Kabul,318733
Tāluqān,Afghanistan,AF,36.7358,69.5347,Asia/Kabul,258758
Lashkar Gāh,Afghanistan,AF,31.5938,64.3716,Asia/Kabul,201546
Shibirghān,Afghanistan,AF,36.665,65.752,Asia/Kabul,175599
Chārīkār,Afghanistan,AF,35.0167,69.1667,Asia/Kabul,171200
Khōst,Afghanistan,AF,33.3333,69.9167,Asia/Kabul,160214
Ghaznī,Afghanistan,AF,33.5492,68.4233,Asia/Kabul,143379
Pul-e Khumrī,Afghanistan,AF,35.95,68.7,Asia/Kabul,139252
Spīn Bōldak,Afghanistan,AF,31.0081,66.3981,Asia/Kabul,123945
Maīmanah,Afghanistan,AF,35.9333,64.75,Asia/Kabul,108049
Baghlān,Afghanistan,AF,36.1328,68.7,Asia/Kabul,89625
Bāzār-e Yakāwlang,Afghanistan,AF,34.7333,66.9667,Asia/Kabul,76000
Gardēz,Afghanistan,AF,33.5931,69.2297,Asia/Kabul,70000
Tarīn Kōṯ,Afghanistan,AF,32.6242,65.8767,Asia/Kabul,70000
Māmā Khēl,Afghanistan,AF,34.25,70.01,Asia/Kabul,66392
Faīẕābād,Afghanistan,AF,37.1166,70.58,Asia/Kabul,64704
Farāh,Afghanistan,AF,32.3436,62.1194,Asia/Kabul,54000
Ghōriyān,Afghanistan,AF,34.3448,61.4932,Asia/Kabul,54000
Sar-e Pul,Afghanistan,AF,36.2214,65.9278,Asia/Kabul,51075
Qalāt,Afghanistan,AF,32.1061,66.9069,Asia/Kabul,49158
Saint John’s,Antigua and Barbuda,AG,17.1211,-61.8447,America/Antigua,21394
The Valley,Anguilla,AI,18.2208,-63.0517,America/Anguilla,1067
Tirana,Albania,AL,41.3283,19.8181,Europe/Tirane,526017
Durrës,Albania,AL,41.3163,19.4474,Europe/Tirane,153614
Elbasan,Albania,AL,41.1131,20.0818,Europe/Tirane,66834
Vlorë,Albania,AL,40.45,19.4833,Europe/Tirane,66320
Kamëz,Albania,AL,41.3833,19.7667,Europe/Tirane,61739
Shkodër,Albania,AL,42.0681,19.5121,Europe/Tirane,61633
Fier,Albania,AL,40.7167,19.55,Europe/Tirane,52926
Korçë,Albania,AL,40.6167,20.7667,Europe/Tirane,43254
Berat,Albania,AL,40.7049,19.9497,Europe/Tirane,40665
Sarandë,Albania,AL,39.875,20.01,Europe/Tirane,22613
Lushnjë,Albania,AL,40.9333,19.7,Europe/Tirane,22400
Pogradec,Albania,AL,40.9,20.65,Europe/Tirane,20848
Kavajë,Albania,AL,41.1833,19.55,Europe/Tirane,20192
Gjirokastër,Albania,AL,40.0758,20.1389,Europe/Tirane,19836
Fushë-Krujë,Albania,AL,41.4833,19.7167,Europe/Tirane,18477
Laç,Albania,AL,41.6353,19.7131,Europe/Tirane,17086
Sukth,Albania,AL,41.3833,19.5333,Europe/Tirane,15966
Buçimas,Albania,AL,40.8914,20.6814,Europe/Tirane,15687
Kukës,Albania,AL,42.0758,20.4231,Europe/Tirane,15643
Lezhë,Albania,AL,41.7805,19.6434,Europe/Tirane,15510
Patos,Albania,AL,40.6841,19.6194,Europe/Tirane,15397
Shijak,Albania,AL,41.3456,19.5672,Europe/Tirane,14138
Peshkopi,Albania,AL,41.6837,20.4119,Europe/Tirane,13251
Librazhd-Qendër,Albania,AL,41.1969,20.3356,Europe/Tirane,12691
Kuçovë,Albania,AL,40.8039,19.9144,Europe/Tirane,12654
Yerevan,Armenia,AM,40.1814,44.5144,Asia/Yerevan,1106300
Gyumri,Armenia,AM,40.7833,43.8333,Asia/Yerevan,121976
Vanadzor,Armenia,AM,40.8128,44.4883,Asia/Yerevan,90525
Hrazdan,Armenia,AM,40.5,44.7667,Asia/Yerevan,52283
Ejmiatsin,Armenia,AM,40.1728,44.2925,Asia/Yerevan,46540
Abovyan,Armenia,AM,40.2739,44.6256,Asia/Yerevan,44400
Armavir,Armenia,AM,40.1544,44.0381,Asia/Yerevan,38635
Kapan,Armenia,AM,39.2011,46.415,Asia/Yerevan,32780
Ashtarak,Armenia,AM,40.3,44.4,Asia/Yerevan,21600
Masis,Armenia,AM,40.067,44.438,Asia/Yerevan,21376
Artashat,Armenia,AM,39.9539,44.5506,Asia/Yerevan,21300
Charentsavan,Armenia,AM,40.4097,44.6431,Asia/Yerevan,20363
Sevan,Armenia,AM,40.555,44.9536,Asia/Yerevan,19229
Ijevan,Armenia,AM,40.8756,45.1492,Asia/Yerevan,19200
Gavarr,Armenia,AM,40.3667,45.1333,Asia/Yerevan,17741
Artik,Armenia,AM,40.6192,43.9721,Asia/Yerevan,17647
Goris,Armenia,AM,39.5111,46.3417,Asia/Yerevan,17113
Dilijan,Armenia,AM,40.7408,44.8631,Asia/Yerevan,16600
Sisian,Armenia,AM,39.5208,46.0322,Asia/Yerevan,14894
Vedi,Armenia,AM,39.91,44.73,Asia/Yerevan,13600
Stepanavan,Armenia,AM,41.0075,44.3867,Asia/Yerevan,13086
Alaverdi,Armenia,AM,41.095,44.6558,Asia/Yerevan,13000
Martuni,Armenia,AM,40.14,45.3064,Asia/Yerevan,12894
Spitak,Armenia,AM,40.8372,44.2675,Asia/Yerevan,12881
Vardenis,Armenia,AM,40.18,45.72,Asia/Yerevan,12685
Luanda,Angola,AO,-8.8383,13.2344,Africa/Luanda,9051000
Lubango,Angola,AO,-14.9167,13.5,Africa/Luanda,903564
Huambo,Angola,AO,-12.7667,15.7333,Africa/Luanda,836293
Cabinda,Angola,AO,-5.5667,12.2,Africa/Luanda,739182
Malanje,Angola,AO,-9.5469,16.3387,Africa/Luanda,604215
Uíge,Angola,AO,-7.6087,15.0613,Africa/Luanda,599000
Benguela,Angola,AO,-12.58,13.4078,Africa/Luanda,512886
Cuito,Angola,AO,-12.3833,16.9333,Africa/Luanda,512706
Lobito,Angola,AO,-12.35,13.5464,Africa/Luanda,436467
Saurimo,Angola,AO,-9.6589,20.3934,Africa/Luanda,393000
Menongue,Angola,AO,-14.6556,17.6842,Africa/Luanda,382635
Belas,Angola,AO,-9.0583,13.1539,Africa/Luanda,381861
Luena,Angola,AO,-11.783,19.913,Africa/Luanda,357413
Vila Teixeira da Silva,Angola,AO,-12.1958,15.8556,Africa/Luanda,294494
Talatona,Angola,AO,-8.9167,13.1833,Africa/Luanda,292919
Sumbe,Angola,AO,-11.2052,13.8417,Africa/Luanda,279968
Caála,Angola,AO,-12.85,15.55,Africa/Luanda,279792
Gabela,Angola,AO,-10.85,14.3667,Africa/Luanda,271843
Andulo,Angola,AO,-11.4926,16.7035,Africa/Luanda,258161
Moçâmedes,Angola,AO,-15.1953,12.1508,Africa/Luanda,255000
Uacu Cungo,Angola,AO,-11.3583,15.1194,Africa/Luanda,225520
Soio,Angola,AO,-6.1333,12.3667,Africa/Luanda,200920
Tchitato,Angola,AO,-7.345,20.8198,Africa/Luanda,195136
Mbanza Kongo,Angola,AO,-6.27,14.24,Africa/Luanda,180329
Dundo,Angola,AO,-7.3801,20.8351,Africa/Luanda,177604
Buenos Aires,Argentina,AR,-34.5997,-58.3819,America/Argentina/Buenos_Aires,16710000
Córdoba,Argentina,AR,-31.4167,-64.1833,America/Argentina/Cordoba,1505250
Rosario,Argentina,AR,-32.9575,-60.6394,America/Argentina/Cordoba,1193605
La Plata,Argentina,AR,-34.9333,-57.95,America/Argentina/Buenos_Aires,904789
Salta,Argentina,AR,-24.7883,-65.4106,America/Argentina/Salta,627704
San Miguel de Tucumán,Argentina,AR,-26.8167,-65.2167,America/Argentina/Tucuman,601888
Mar del Plata,Argentina,AR,-38.0,-57.55,America/Argentina/Buenos_Aires,593337
San Juan,Argentina,AR,-31.5375,-68.5364,America/Argentina/San_Juan,471389
Lanús,Argentina,AR,-34.7,-58.4,America/Argentina/Buenos_Aires,459263
Corrientes,Argentina,AR,-27.4833,-58.8167,America/Argentina/Cordoba,430170
Santa Fe,Argentina,AR,-31.6333,-60.7,America/Argentina/Cordoba,423212
Avellaneda,Argentina,AR,-34.6625,-58.3678,America/Argentina/Buenos_Aires,366117
San Salvador de Jujuy,Argentina,AR,-24.1856,-65.2994,America/Argentina/Jujuy,312446
Santiago del Estero,Argentina,AR,-27.7844,-64.2669,America/Argentina/Cordoba,311506
Resistencia,Argentina,AR,-27.4514,-58.9867,America/Argentina/Cordoba,300640
Bahía Blanca,Argentina,AR,-38.7182,-62.2673,America/Argentina/Buenos_Aires,299101
Neuquén,Argentina,AR,-38.9518,-68.0592,America/Argentina/Salta,288896
Posadas,Argentina,AR,-27.3667,-55.8969,America/Argentina/Cordoba,275988
Paraná,Argentina,AR,-31.7331,-60.5297,America/Argentina/Cordoba,271304
Formosa,Argentina,AR,-26.1847,-58.1758,America/Argentina/Cordoba,264452
Quilmes,Argentina,AR,-34.7167,-58.2667,America/Argentina/Buenos_Aires,262379
Merlo,Argentina,AR,-34.6653,-58.7275,America/Argentina/Buenos_Aires,244168
González Catán,Argentina,AR,-34.7708,-58.6464,America/Argentina/Buenos_Aires,238067
José C. Paz,Argentina,AR,-34.5167,-58.7667,America/Argentina/Buenos_Aires,216637
San Rafael,Argentina,AR,-34.6175,-68.3356,America/Argentina/Mendoza,215020
Pago Pago,American Samoa,AS,-14.274,-170.7046,Pacific/Pago_Pago,12576
Vienna,Austria,AT,48.2083,16.3725,Europe/Vienna,2223236
Graz,Austria,AT,47.0708,15.4386,Europe/Vienna,292630
Linz,Austria,AT,48.3058,14.2864,Europe/Vienna,211944
Salzburg,Austria,AT,47.8,13.045,Europe/Vienna,155021
Innsbruck,Austria,AT,47.2683,11.3933,Europe/Vienna,132499
Klagenfurt,Austria,AT,46.6167,14.3,Europe/Vienna,101403
Wels,Austria,AT,48.15,14.0167,Europe/Vienna,65303
Villach,Austria,AT,46.6167,13.8333,Europe/Vienna,65127
Sankt Pölten,Austria,AT,48.2,15.6167,Europe/Vienna,55514
Dornbirn,Austria,AT,47.4167,9.75,Europe/Vienna,48067
Wiener Neustadt,Austria,AT,47.8167,16.25,Europe/Vienna,44461
Steyr,Austria,AT,48.05,14.4167,Europe/Vienna,38034
Feldkirch,Austria,AT,47.2381,9.5983,Europe/Vienna,36708
Bregenz,Austria,AT,47.505,9.7492,Europe/Vienna,29476
Leonding,Austria,AT,48.2792,14.2528,Europe/Vienna,28698
Klosterneuburg,Austria,AT,48.3042,16.3167,Europe/Vienna,27058
Baden,Austria,AT,48.0075,16.2344,Europe/Vienna,26286
Krems an der Donau,Austria,AT,48.4167,15.6167,Europe/Vienna,25272
Wolfsberg,Austria,AT,46.8419,14.8408,Europe/Vienna,25035
Leoben,Austria,AT,47.3817,15.0972,Europe/Vienna,24645
Lustenau,Austria,AT,47.4271,9.6711,Europe/Vienna,24603
Traun,Austria,AT,48.2217,14.2397,Europe/Vienna,24477
Amstetten,Austria,AT,48.1167,14.8667,Europe/Vienna,23569
Kapfenberg,Austria,AT,47.4394,15.2894,Europe/Vienna,22798
Hallein,Austria,AT,47.6667,13.0833,Europe/Vienna,21150
Sydney,Australia,AU,-33.8678,151.21,Australia/Sydney,5450496
Melbourne,Australia,AU,-37.8142,144.9631,Australia/Melbourne,5350705
Brisbane,Australia,AU,-27.4678,153.0278,Australia/Brisbane,2706966
Perth,Australia,AU,-31.9558,115.8597,Australia/Perth,2141834
Adelaide,Australia,AU,-34.9275,138.6,Australia/Adelaide,1387290
Gold Coast,Australia,AU,-28.0167,153.4,Australia/Brisbane,607665
Canberra,Australia,AU,-35.2931,149.1269,Australia/Sydney,381488
Central Coast,Australia,AU,-33.2992,151.1922,Australia/Sydney,325255
Wollongong,Australia,AU,-34.4331,150.8831,Australia/Sydney,261896
Ipswich,Australia,AU,-27.6167,152.7667,Australia/Brisbane,232930
Hobart,Australia,AU,-42.8833,147.3167,Australia/Hobart,197451
Geelong,Australia,AU,-38.15,144.35,Australia/Melbourne,180239
Townsville,Australia,AU,-19.2622,146.8158,Australia/Brisbane,173724
Newcastle,Australia,AU,-32.9167,151.75,Australia/Sydney,152984
Cairns,Australia,AU,-16.9256,145.7753,Australia/Brisbane,146778
Darwin,Australia,AU,-12.4381,130.8411,Australia/Darwin,139902
Ballarat,Australia,AU,-37.5608,143.8475,Australia/Melbourne,116201
Toowoomba,Australia,AU,-27.55,151.95,Australia/Brisbane,108398
Mandurah,Australia,AU,-32.5289,115.7231,Australia/Perth,107643
Bendigo,Australia,AU,-36.75,144.2667,Australia/Melbourne,103034
Maitland,Australia,AU,-32.7317,151.5511,Australia/Sydney,89597
Launceston,Australia,AU,-41.4444,147.1378,Australia/Hobart,80943
Mackay,Australia,AU,-21.1411,149.1861,Australia/Brisbane,80455
Melton,Australia,AU,-37.6833,144.5833,Australia/Melbourne,76346
Bunbury,Australia,AU,-33.3272,115.6369,Australia/Perth,75196
Oranjestad,Aruba,AW,12.5186,-70.0358,America/Aruba,28658
Tanki Leendert,Aruba,AW,12.5418,-70.022,America/Aruba,21495
Baku,Azerbaijan,AZ,40.3667,49.8352,Asia/Baku,2300500
Sumqayıt,Azerbaijan,AZ,40.5961,49.67,Asia/Baku,341200
Gəncə,Azerbaijan,AZ,40.6828,46.3606,Asia/Baku,331400
Mingəçevir,Azerbaijan,AZ,40.764,47.0595,Asia/Baku,106100
Xırdalan,Azerbaijan,AZ,40.4486,49.7564,Asia/Baku,100900
Keşlə,Azerbaijan,AZ,40.3978,49.8986,Asia/Baku,100626
Naxçıvan,Azerbaijan,AZ,39.2089,45.4122,Asia/Baku,95100
Şatrovka,Azerbaijan,AZ,39.9319,48.9203,Asia/Baku,86500
Qaraçuxur,Azerbaijan,AZ,40.3969,49.9733,Asia/Baku,85900
Bakıxanov,Azerbaijan,AZ,40.4217,49.9644,Asia/Baku,71600
Şəki,Azerbaijan,AZ,41.1919,47.1706,Asia/Baku,68360
Yevlax,Azerbaijan,AZ,40.6172,47.15,Asia/Baku,59036
M.Ə. Rəsulzadə,Azerbaijan,AZ,40.4344,49.8336,Asia/Baku,51800
Lənkəran,Azerbaijan,AZ,38.7536,48.8511,Asia/Baku,51300
Xankəndi,Azerbaijan,AZ,39.8153,46.7519,Asia/Baku,49848
Biləcəri,Azerbaijan,AZ,40.4444,49.8057,Asia/Baku,45008
Ağcabədi,Azerbaijan,AZ,40.0489,47.4502,Asia/Baku,43000
Şəmkir,Azerbaijan,AZ,40.8297,46.0189,Asia/Baku,40600
Xaçmaz,Azerbaijan,AZ,41.4681,48.8028,Asia/Baku,39900
Şamaxı,Azerbaijan,AZ,40.6339,48.6392,Asia/Baku,39600
Bərdə,Azerbaijan,AZ,40.3831,47.1186,Asia/Baku,38500
Binəqədi,Azerbaijan,AZ,40.4758,49.8222,Asia/Baku,37100
Göyçay,Azerbaijan,AZ,40.6553,47.7389,Asia/Baku,36200
Lökbatan,Azerbaijan,AZ,40.3272,49.73,Asia/Baku,35523
Mərdəkan,Azerbaijan,AZ,40.4918,50.1429,Asia/Baku,32084
Sarajevo,Bosnia and Herzegovina,BA,43.8564,18.4131,Europe/Sarajevo,394002
Banja Luka,Bosnia and Herzegovina,BA,44.7725,17.1925,Europe/Sarajevo,185042
Tuzla,Bosnia and Herzegovina,BA,44.5391,18.6752,Europe/Sarajevo,110979
Mostar,Bosnia and Herzegovina,BA,43.3436,17.8075,Europe/Sarajevo,105448
Prijedor,Bosnia and Herzegovina,BA,44.9667,16.7,Europe/Sarajevo,89397
Zenica,Bosnia and Herzegovina,BA,44.2017,17.9039,Europe/Sarajevo,70553
Doboj,Bosnia and Herzegovina,BA,44.7333,18.1333,Europe/Sarajevo,68514
Ilidža,Bosnia and Herzegovina,BA,43.8331,18.3039,Europe/Sarajevo,66730
Živinice,Bosnia and Herzegovina,BA,44.45,18.65,Europe/Sarajevo,57765
Bihać,Bosnia and Herzegovina,BA,44.8147,15.8692,Europe/Sarajevo,56261
Bijeljina,Bosnia and Herzegovina,BA,44.7567,19.2156,Europe/Sarajevo,45291
Tešanj,Bosnia and Herzegovina,BA,44.6135,17.9894,Europe/Sarajevo,43063
Brčko,Bosnia and Herzegovina,BA,44.8783,18.8092,Europe/Sarajevo,39893
Žepče,Bosnia and Herzegovina,BA,44.4333,18.0333,Europe/Sarajevo,31582
Trebinje,Bosnia and Herzegovina,BA,42.7089,18.3217,Europe/Sarajevo,31433
Široki Brijeg,Bosnia and Herzegovina,BA,43.3667,17.5833,Europe/Sarajevo,28929
Ljubuški,Bosnia and Herzegovina,BA,43.1981,17.5467,Europe/Sarajevo,28184
Čapljina,Bosnia and Herzegovina,BA,43.11,17.7,Europe/Sarajevo,28122
Banovići,Bosnia and Herzegovina,BA,44.4089,18.5287,Europe/Sarajevo,26590
Vogošća,Bosnia and Herzegovina,BA,43.9,18.35,Europe/Sarajevo,26343
Hadžići,Bosnia and Herzegovina,BA,43.8236,18.2211,Europe/Sarajevo,23891
Pale,Bosnia and Herzegovina,BA,43.8167,18.5667,Europe/Sarajevo,22282
Posušje,Bosnia and Herzegovina,BA,43.4722,17.3267,Europe/Sarajevo,20477
Ilijaš,Bosnia and Herzegovina,BA,43.9583,18.2667,Europe/Sarajevo,19603
Busovača,Bosnia and Herzegovina,BA,44.0978,17.8783,Europe/Sarajevo,18488
Bridgetown,Barbados,BB,13.0975,-59.6167,America/Barbados,98511
Cave Hill,Barbados,BB,13.3042,-59.5853,America/Barbados,9758
Dhaka,Bangladesh,BD,23.7289,90.3944,Asia/Dhaka,19134000
Chattogram,Bangladesh,BD,22.335,91.8325,Asia/Dhaka,5253312
Gāzipura,Bangladesh,BD,23.9889,90.375,Asia/Dhaka,2677715
Nārāyanganj,Bangladesh,BD,23.6167,90.5,Asia/Dhaka,967951
Khulna,Bangladesh,BD,22.8167,89.55,Asia/Dhaka,928891
Sylhet,Bangladesh,BD,24.9,91.8667,Asia/Dhaka,712288
Rangapukur,Bangladesh,BD,25.5206,89.2147,Asia/Dhaka,708570
Comilla,Bangladesh,BD,23.45,91.2,Asia/Dhaka,634654
Rājshāhi,Bangladesh,BD,24.3667,88.6,Asia/Dhaka,552791
Chauddagram,Bangladesh,BD,23.22,91.3,Asia/Dhaka,501815
Tungi,Bangladesh,BD,23.8833,90.4,Asia/Dhaka,476350
Barura,Bangladesh,BD,23.36,91.05,Asia/Dhaka,456341
Sirājganj,Bangladesh,BD,24.45,89.7167,Asia/Dhaka,450000
Bogra,Bangladesh,BD,24.85,89.3667,Asia/Dhaka,443742
Mymensingh,Bangladesh,BD,24.75,90.4167,Asia/Dhaka,436857
Barishal,Bangladesh,BD,22.7,90.3667,Asia/Dhaka,419484
Savar,Bangladesh,BD,23.8482,90.2577,Asia/Dhaka,384105
Sherpur,Bangladesh,BD,24.665,89.419,Asia/Dhaka,383539
Companiganj,Bangladesh,BD,22.875,91.2833,Asia/Dhaka,301310
Rangpur,Bangladesh,BD,25.75,89.2444,Asia/Dhaka,294265
Sonāgāzi,Bangladesh,BD,22.8492,91.3928,Asia/Dhaka,290667
Brāhmanbāria,Bangladesh,BD,23.9723,91.1099,Asia/Dhaka,268279
Srīpur,Bangladesh,BD,24.2,90.4667,Asia/Dhaka,258973
Siddhirganj,Bangladesh,BD,23.6833,90.5167,Asia/Dhaka,256760
Bānchpār,Bangladesh,BD,23.2,90.8,Asia/Dhaka,241799
Brussels,Belgium,BE,50.8333,4.3333,Europe/Brussels,1249597
Antwerp,Belgium,BE,51.2206,4.4003,Europe/Brussels,565039
Gent,Belgium,BE,51.0536,3.7253,Europe/Brussels,272657
Charleroi,Belgium,BE,50.4095,4.4525,Europe/Brussels,204322
Liège,Belgium,BE,50.6397,5.5706,Europe/Brussels,195278
Schaarbeek,Belgium,BE,50.8675,4.3736,Europe/Brussels,132799
Anderlecht,Belgium,BE,50.8392,4.3297,Europe/Brussels,120887
Bruges,Belgium,BE,51.2089,3.2242,Europe/Brussels,118509
Namur,Belgium,BE,50.4667,4.8667,Europe/Brussels,115330
Moortebeek,Belgium,BE,50.8455,4.2862,Europe/Brussels,97979
Sint-Jans-Molenbeek,Belgium,BE,50.8547,4.3386,Europe/Brussels,97979
Mons,Belgium,BE,50.4547,3.9525,Europe/Brussels,95299
Aalst,Belgium,BE,50.9383,4.0391,Europe/Brussels,88854
Ixelles,Belgium,BE,50.8331,4.3669,Europe/Brussels,87632
Mechelen,Belgium,BE,51.0281,4.4803,Europe/Brussels,86921
Deurne,Belgium,BE,51.2247,4.4625,Europe/Brussels,85283
La Louvière,Belgium,BE,50.4778,4.1881,Europe/Brussels,80986
Sint-Niklaas,Belgium,BE,51.1644,4.1392,Europe/Brussels,80167
Kortrijk,Belgium,BE,50.8275,3.2658,Europe/Brussels,77741
Hasselt,Belgium,BE,50.9304,5.3383,Europe/Brussels,77651
Ostend,Belgium,BE,51.2258,2.9194,Europe/Brussels,71557
Tournai,Belgium,BE,50.6069,3.3896,Europe/Brussels,69554
Genk,Belgium,BE,50.9653,5.5006,Europe/Brussels,66110
Roeselare,Belgium,BE,50.9447,3.1233,Europe/Brussels,64495
Seraing,Belgium,BE,50.5986,5.5122,Europe/Brussels,64270
Ouagadougou,Burkina Faso,BF,12.3686,-1.5275,Africa/Ouagadougou,3063271
Bobo-Dioulasso,Burkina Faso,BF,11.1833,-4.2833,Africa/Ouagadougou,903887
Koudougou,Burkina Faso,BF,12.25,-2.3667,Africa/Ouagadougou,160207
Ouahigouya,Burkina Faso,BF,13.5833,-2.4167,Africa/Ouagadougou,124580
Kaya,Burkina Faso,BF,13.0833,-1.0833,Africa/Ouagadougou,122949
Banfora,Burkina Faso,BF,10.6308,-4.7589,Africa/Ouagadougou,117200
Pouytenga,Burkina Faso,BF,12.25,-0.4333,Africa/Ouagadougou,99950
Houndé,Burkina Faso,BF,11.5,-3.5167,Africa/Ouagadougou,87154
Fada Ngourma,Burkina Faso,BF,12.05,0.3667,Africa/Ouagadougou,73200
Dédougou,Burkina Faso,BF,12.4667,-3.4667,Africa/Ouagadougou,63617
Djibo,Burkina Faso,BF,14.1011,-1.6306,Africa/Ouagadougou,61456
Tenkodogo,Burkina Faso,BF,11.7833,-0.3667,Africa/Ouagadougou,58600
Kongoussi,Burkina Faso,BF,13.3333,-1.5333,Africa/Ouagadougou,53641
Titao,Burkina Faso,BF,13.7667,-2.0736,Africa/Ouagadougou,48242
Dori,Burkina Faso,BF,14.0328,-0.0348,Africa/Ouagadougou,46521
Koupéla,Burkina Faso,BF,12.1794,-0.3517,Africa/Ouagadougou,45900
Gaoua,Burkina Faso,BF,10.3167,-3.1667,Africa/Ouagadougou,45189
Garango,Burkina Faso,BF,11.8047,-0.5489,Africa/Ouagadougou,45150
Tanghin-Dassouri,Burkina Faso,BF,12.2747,-1.7164,Africa/Ouagadougou,43675
Gourcy,Burkina Faso,BF,13.2063,-2.3586,Africa/Ouagadougou,40144
Yako,Burkina Faso,BF,12.9667,-2.2667,Africa/Ouagadougou,38689
Bindé,Burkina Faso,BF,11.75,-1.09,Africa/Ouagadougou,36518
Zorgo,Burkina Faso,BF,12.25,-0.6167,Africa/Ouagadougou,35406
Réo,Burkina Faso,BF,12.3167,-2.4667,Africa/Ouagadougou,33893
Niangoloko,Burkina Faso,BF,10.2833,-4.9167,Africa/Ouagadougou,33500
Sofia,Bulgaria,BG,42.6979,23.3217,Europe/Sofia,1531867
Plovdiv,Bulgaria,BG,42.1434,24.751,Europe/Sofia,329489
Varna,Bulgaria,BG,43.2114,27.9111,Europe/Sofia,318737
Burgas,Bulgaria,BG,42.503,27.4702,Europe/Sofia,189014
Stara Zagora,Bulgaria,BG,42.4333,25.65,Europe/Sofia,142746
Ruse,Bulgaria,BG,43.8445,25.9539,Europe/Sofia,137159
Sliven,Bulgaria,BG,42.6833,26.3333,Europe/Sofia,110470
Pleven,Bulgaria,BG,43.4167,24.6167,Europe/Sofia,109080
Pazardzhik,Bulgaria,BG,42.1935,24.3328,Europe/Sofia,90309
Shumen,Bulgaria,BG,43.2746,26.9349,Europe/Sofia,85410
Pernik,Bulgaria,BG,42.6,23.033,Europe/Sofia,81170
Haskovo,Bulgaria,BG,41.933,25.567,Europe/Sofia,78812
Veliko Tarnovo,Bulgaria,BG,43.0787,25.6283,Europe/Sofia,76834
Dobrich,Bulgaria,BG,43.5667,27.8333,Europe/Sofia,69434
Blagoevgrad,Bulgaria,BG,42.0227,23.0975,Europe/Sofia,69265
Kardzhali,Bulgaria,BG,41.65,25.367,Europe/Sofia,65935
Kazanlak,Bulgaria,BG,42.617,25.4,Europe/Sofia,63529
Kyustendil,Bulgaria,BG,42.2797,22.687,Europe/Sofia,61642
Vratsa,Bulgaria,BG,43.2121,23.5444,Europe/Sofia,60361
Yambol,Bulgaria,BG,42.4833,26.5,Europe/Sofia,59364
Asenovgrad,Bulgaria,BG,42.0167,24.8667,Europe/Sofia,56859
Gabrovo,Bulgaria,BG,42.8742,25.3178,Europe/Sofia,54608
Targovishte,Bulgaria,BG,43.25,26.583,Europe/Sofia,47823
Vidin,Bulgaria,BG,43.9887,22.8741,Europe/Sofia,46269
Razgrad,Bulgaria,BG,43.5409,26.5288,Europe/Sofia,44894
Manama,Bahrain,BH,26.2167,50.5833,Asia/Bahrain,727000
Al Muḩarraq,Bahrain,BH,26.25,50.6167,Asia/Bahrain,176583
Madīnat Ḩamad,Bahrain,BH,26.1128,50.5139,Asia/Bahrain,133550
Sitrah,Bahrain,BH,26.1547,50.6206,Asia/Bahrain,72601
Jidd Ḩafş,Bahrain,BH,26.2242,50.5394,Asia/Bahrain,66588
Madīnat ‘Īsá,Bahrain,BH,26.1736,50.5478,Asia/Bahrain,61293
Ad Dirāz,Bahrain,BH,26.2186,50.4756,Asia/Bahrain,18000
Al Hamalah,Bahrain,BH,26.1497,50.4653,Asia/Bahrain,18000
